STT,Ngày,Mã,Tham chiếu,Mở cửa,Đóng cửa,Cao nhất,Thấp nhất,Trung bình,Thay đổi giá(+/-),Thay đổi giá(%),KLGD khớp lệnh,GTGD khớp lệnh,KLGD thỏa thuận,GTGD thỏa thuận,KL Tổng giao dịch,GT Tổng giao dịch,Tổng giao dịch
1,07/05/2020,AAA,11.95,12,12.15,12.2,12,12.1,200,1.67,"1,705,560","20,642",0,0,"1,705,560","20,642","2,080,080"
2,07/05/2020,AAM,11.5,11.5,11.5,11.5,11.5,10,0,0,100,1,0,0,100,1,"120,189"
3,07/05/2020,ABS,15.9,16,15.3,16,15,15.31,-600,-3.77,"109,900","1,683",0,0,"109,900","1,683","440,640"
4,07/05/2020,ABT,32.1,32.1,32.1,32.1,32.1,0,0,0,0,0,0,0,0,0,"369,062"
5,07/05/2020,ACC,18.8,18.8,19,19,18.7,18.68,200,1.06,"3,480",65,0,0,"3,480",65,"190,000"
6,07/05/2020,ACL,17.55,17.5,17.4,17.85,16.7,16.93,-150,-0.85,"92,730","1,571",0,0,"92,730","1,571","396,714"
7,07/05/2020,ADS,9.94,9.9,9.9,9.9,9.85,9.85,-40,-0.4,"2,030",20,0,0,"2,030",20,"252,626"
8,07/05/2020,AGG,27.1,27.05,27.1,27.2,26.9,27.03,0,0,"202,980","5,488",0,0,"202,980","5,488","2,032,500"
9,07/05/2020,AGM,12.1,12.1,12.05,12.2,11.85,11.92,-50,-0.41,"21,880",261,0,0,"21,880",261,"219,310"
10,07/05/2020,AGR,2.88,2.88,2.89,2.9,2.86,2.89,10,0.35,"92,130",265,0,0,"92,130",265,"610,368"
11,07/05/2020,AMD,3.25,3.28,3.14,3.28,3.11,3.18,-110,-3.38,"2,199,710","6,986",0,0,"2,199,710","6,986","513,405"
12,07/05/2020,ANV,16.35,16.5,17.35,17.4,16.45,17.01,"1,000",6.12,"823,620","14,034",0,0,"823,620","14,034","2,205,669"
13,07/05/2020,APC,17.9,17.9,18,18.3,17.5,17.98,100,0.56,"38,610",694,0,0,"38,610",694,"358,290"
14,07/05/2020,APG,9.1,8.9,9.19,9.19,8.9,9.1,90,0.99,"1,494,510","13,601","1,000,000","9,500","2,494,510","23,101","312,726"
15,07/05/2020,ASM,5,5,5.12,5.15,4.94,5.01,120,2.4,"1,580,770","7,930",0,0,"1,580,770","7,930","1,325,403"
16,07/05/2020,ASP,5.15,5.11,5.2,5.29,5.11,5.2,50,0.97,"24,270",126,0,0,"24,270",126,"194,166"
17,07/05/2020,AST,51,51,51.7,52.5,51,51.83,700,1.37,"80,480","4,170",0,0,"80,480","4,170","2,326,500"
18,07/05/2020,ATG,0.54,0.54,0.53,0.55,0.52,0.53,-10,-1.85,"13,230",7,0,0,"13,230",7,"8,067"
19,07/05/2020,BBC,43.4,42.4,43.4,43.4,42,42.15,0,0,"1,220",52,0,0,"1,220",52,"669,262"
20,07/05/2020,BCE,7.54,7.55,8,8,7.51,7.73,460,6.1,"328,930","2,551",0,0,"328,930","2,551","240,000"
21,07/05/2020,BCG,5.03,5.03,5.36,5.36,5.03,5.23,330,6.56,"768,640","4,031",0,0,"768,640","4,031","578,911"
